DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
08/20/2015,19:22,QUEENS,11691,40.6063974,-73.7517519,"(40.6063974, -73.7517519)",AUGUSTINA AVENUE,BAYPORT PLACE,,0,1,0,0,0,1,0,0,Unspecified,,,,,3281241,LARGE COM VEH(6 OR MORE TIRES),BICYCLE,,,
08/20/2015,23:26,BROOKLYN,11209,40.6294862,-74.022639,"(40.6294862, -74.022639)",BAY RIDGE PARKWAY,5 AVENUE,,0,1,0,0,0,0,0,1,Alcohol Involvement,,,,,3281723,SPORT UTILITY / STATION WAGON,,,,
08/20/2015,9:39,MANHATTAN,10019,40.7662862,-73.9818487,"(40.7662862, -73.9818487)",WEST 57 STREET,BROADWAY,,0,1,0,1,0,0,0,0,Unspecified,,,,,3280904,BUS,,,,
08/16/2015,1:06,,,,,,RICHMOND AVENUE,SIGNS ROAD,,0,1,0,0,0,0,0,1,Traffic Control Disregarded,Unspecified,Unspecified,,,3278844,MOTORCYCLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,
08/12/2015,15:45,BROOKLYN,11221,40.6894904,-73.9220696,"(40.6894904, -73.9220696)",BROADWAY,GATES AVENUE,,0,1,0,1,0,0,0,0,Driver Inattention/Distraction,,,,,3276211,LARGE COM VEH(6 OR MORE TIRES),,,,
08/10/2015,16:24,MANHATTAN,10017,40.7542505,-73.9689773,"(40.7542505, -73.9689773)",SECOND AVENUE,EAST 49 STREET,,3,1,2,1,0,0,1,0,Traffic Control Disregarded,,,,,3274584,PASSENGER VEHICLE,,,,
08/10/2015,6:37,QUEENS,11365,40.7511231,-73.7794404,"(40.7511231, -73.7794404)",FRANCIS LEWIS BOULEVARD,49 AVENUE,,0,1,0,0,0,0,0,1,Fell Asleep,Unspecified,Unspecified,Unspecified,,3275002,LARGE COM VEH(6 OR MORE TIRES),PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,
08/09/2015,20:23,BROOKLYN,11201,40.6902385,-73.9943603,"(40.6902385, -73.9943603)",ATLANTIC AVENUE,CLINTON STREET,,0,1,0,1,0,0,0,0,Unspecified,,,,,3274847,PASSENGER VEHICLE,,,,
08/08/2015,0:17,QUEENS,11434,40.6670514,-73.7741023,"(40.6670514, -73.7741023)",176 STREET,SOUTH CONDUIT AVENUE,,2,1,0,0,0,0,2,1,Traffic Control Disregarded,Unspecified,Unspecified,,,3274305,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,
08/07/2015,0:25,QUEENS,11379,40.7089472,-73.8745074,"(40.7089472, -73.8745074)",78 STREET,69 ROAD,,0,1,0,1,0,0,0,0,Unspecified,,,,,3273228,PASSENGER VEHICLE,,,,
08/05/2015,1:30,,,,,,ROCKAWAY BOULEVARD,BROOKVILLE BOULEVARD,,2,1,0,0,0,0,2,1,Unspecified,Unspecified,,,,3271961,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
08/05/2015,17:25,BROOKLYN,11220,40.6488,-74.0134237,"(40.6488, -74.0134237)",3 AVENUE,48 STREET,,0,1,0,0,0,1,0,0,Passenger Distraction,Unspecified,,,,3272480,SPORT UTILITY / STATION WAGON,BICYCLE,,,
08/03/2015,7:37,,,,,,,,,0,1,0,0,0,0,0,1,Fell Asleep,,,,,3270194,SMALL COM VEH(4 TIRES),,,,
08/02/2015,1:20,STATEN ISLAND,10308,40.5535547,-74.1411639,"(40.5535547, -74.1411639)",AMBOY ROAD,CRANFORD STREET,,0,1,0,0,0,0,0,1,Traffic Control Disregarded,Unspecified,,,,3269992,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
08/01/2015,17:05,,,,,,,,,0,1,0,0,0,0,0,1,Traffic Control Disregarded,Unspecified,,,,3268952,PASSENGER VEHICLE,MOTORCYCLE,,,
07/29/2015,23:05,BROOKLYN,11231,40.6736898,-74.0118029,"(40.6736898, -74.0118029)",VAN DYKE STREET,DWIGHT STREET,,0,1,0,0,0,1,0,0,Driver Inattention/Distraction,Unspecified,,,,3267799,BUS,BICYCLE,,,
07/28/2015,14:14,QUEENS,11101,40.7498984,-73.9378107,"(40.7498984, -73.9378107)",QUEENS PLAZA NORTH,29 STREET,,0,1,0,0,0,1,0,0,Passenger Distraction,Traffic Control Disregarded,,,,3266691,BICYCLE,PASSENGER VEHICLE,,,
07/26/2015,22:44,,,,,,RICHMOND AVENUE,RICHMOND HILL ROAD,,3,1,0,0,0,0,3,1,Physical Disability,,,,,3266071,PASSENGER VEHICLE,,,,
07/24/2015,23:47,,,40.7162813,-73.8031218,"(40.7162813, -73.8031218)",,,,0,1,0,0,0,0,0,1,Pavement Defective,Pavement Defective,,,,3265897,MOTORCYCLE,SPORT UTILITY / STATION WAGON,,,
07/22/2015,17:55,QUEENS,11415,40.7100269,-73.8340529,"(40.7100269, -73.8340529)",PARK LANE SOUTH,BEVERLY ROAD,,0,1,0,0,0,0,0,1,Traffic Control Disregarded,Failure to Yield Right-of-Way,,,,3263267,MOTORCYCLE,PASSENGER VEHICLE,,,
07/19/2015,18:11,QUEENS,11411,40.6889363,-73.7322397,"(40.6889363, -73.7322397)",119 AVENUE,231 STREET,,3,1,0,0,0,0,3,1,Physical Disability,Unspecified,,,,3261921,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
07/18/2015,2:07,,,40.6670397,-73.7681947,"(40.6670397, -73.7681947)",,,,1,1,0,1,0,0,1,0,Unspecified,Unspecified,,,,3261262,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
07/17/2015,12:32,,,,,,CANAL STREET,BOWERY,,0,1,0,1,0,0,0,0,Unspecified,,,,,3259731,LARGE COM VEH(6 OR MORE TIRES),,,,
07/13/2015,7:05,BROOKLYN,11217,40.6831278,-73.9791852,"(40.6831278, -73.9791852)",4 AVENUE,DEAN STREET,,6,1,0,0,0,1,6,0,Following Too Closely,Unspecified,Unspecified,Unspecified,,3257329,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,BICYCLE,
07/12/2015,18:28,QUEENS,11434,40.6678458,-73.7761182,"(40.6678458, -73.7761182)",NORTH CONDUIT AVENUE,159 STREET,,0,1,0,0,0,0,0,1,Traffic Control Disregarded,,,,,3257565,SPORT UTILITY / STATION WAGON,,,,
07/09/2015,20:42,BROOKLYN,11212,40.666331,-73.9157021,"(40.666331, -73.9157021)",SUTTER AVENUE,STRAUSS STREET,,0,1,0,1,0,0,0,0,Unspecified,,,,,3255542,PASSENGER VEHICLE,,,,
07/08/2015,0:03,,,,,,,,,0,1,0,0,0,0,0,1,Pavement Defective,,,,,3254293,MOTORCYCLE,,,,
07/06/2015,9:21,,,,,,COOP CITY BOULEVARD,BELLAMY LOOP,,0,1,0,0,0,0,0,1,Fell Asleep,,,,,3252820,SPORT UTILITY / STATION WAGON,,,,
