longitude,latitude,YR,MO,X,Y,TOT,CR
-73.85288013198138,40.74003896742295,2015.0,2.0,1025019.0,208927.0,1.0,GRAND LARCENY
-73.87333361903889,40.70976936185845,2015.0,3.0,1019367.0,197890.0,1.0,GRAND LARCENY
-73.95859674486451,40.6206071032429,2015.0,1.0,995744.0,165383.0,1.0,ROBBERY
-73.84156172971369,40.69525135557426,2015.0,1.0,1028185.0,192615.0,1.0,FELONY ASSAULT
-73.96615142268035,40.76791577333322,2015.0,1.0,993626.0,219051.0,1.0,GRAND LARCENY
-73.91730679095049,40.66870914476961,2015.0,1.0,1007190.0,182916.0,1.0,GRAND LARCENY
-73.92930868218455,40.684167485751566,2015.0,1.0,1003856.0,188545.0,1.0,GRAND LARCENY
-73.96956142995137,40.80293677718099,2015.0,1.0,992677.0,231810.0,1.0,GRAND LARCENY
-73.95007622945677,40.82956749470933,2015.0,1.0,998066.0,241515.0,1.0,GRAND LARCENY
-73.74292919620218,40.76238598598739,2015.0,1.0,1055464.0,217139.0,1.0,GRAND LARCENY
-73.9331524777884,40.676745169674646,2015.0,1.0,1002792.0,185840.0,1.0,GRAND LARCENY
-73.9311201452519,40.66879784311931,2015.0,1.0,1003358.0,182945.0,2.0,GRAND LARCENY
-73.96477753017726,40.683039239058544,2015.0,1.0,994019.0,188128.0,1.0,GRAND LARCENY
-73.84002756886062,40.835662172898836,2015.0,1.0,1028517.0,243772.0,1.0,GRAND LARCENY
-73.86377183040925,40.751967336821664,2015.0,3.0,1021994.0,213268.0,1.0,BURGLARY
-73.93286218445012,40.85050638187385,2015.0,1.0,1002824.0,249147.0,1.0,GRAND LARCENY
-73.97580037926413,40.74064366237839,2015.0,2.0,990956.0,209114.0,1.0,GRAND LARCENY
-73.96106887544212,40.76085743587176,2015.0,2.0,995035.0,216480.0,1.0,GRAND LARCENY
-73.9442331177802,40.75210850138239,2015.0,2.0,999701.0,213295.0,1.0,GRAND LARCENY
-73.89617624321136,40.84665856619871,2015.0,2.0,1012975.0,247755.0,1.0,GRAND LARCENY
-73.90070291371735,40.756108491429046,2015.0,2.0,1011760.0,214763.0,1.0,GRAND LARCENY
-73.92006038562543,40.75630195947634,2015.0,2.0,1006397.0,214828.0,1.0,GRAND LARCENY
-73.98003670045068,40.76552011223818,2015.0,2.0,989780.0,218177.0,1.0,GRAND LARCENY
-74.00513786259648,40.72951885970842,2015.0,2.0,982826.0,205060.0,1.0,GRAND LARCENY
-73.93914815670928,40.82662540106429,2015.0,2.0,1001091.0,240445.0,1.0,GRAND LARCENY
-73.85593276543014,40.748504901985896,2015.0,1.0,1024168.0,212010.0,1.0,FELONY ASSAULT
-73.99709835797755,40.7472061209195,2015.0,2.0,985054.0,211504.0,1.0,GRAND LARCENY
-73.99346359839569,40.752190434011226,2015.0,2.0,986061.0,213320.0,1.0,GRAND LARCENY
-74.00441709886807,40.742284736490724,2015.0,2.0,983026.0,209711.0,1.0,GRAND LARCENY
-73.982227193827,40.72784604637941,2015.0,2.0,989176.0,204451.0,1.0,GRAND LARCENY
-73.87801922818666,40.88708941768913,2015.0,2.0,1017978.0,262492.0,1.0,GRAND LARCENY
-73.9918666296382,40.588483687968434,2015.0,2.0,986509.0,153677.0,1.0,GRAND LARCENY
-73.95832024813635,40.71728078865153,2015.0,2.0,995804.0,200604.0,1.0,GRAND LARCENY
-73.90835300190595,40.87564193869874,2015.0,2.0,1009595.0,258311.0,1.0,GRAND LARCENY
-73.98639950433235,40.755804647201565,2015.0,2.0,988018.0,214637.0,2.0,GRAND LARCENY
-73.98220069265751,40.77303282022358,2015.0,2.0,989180.0,220914.0,1.0,GRAND LARCENY
-73.91883822367159,40.75510439536044,2015.0,3.0,1006736.0,214392.0,1.0,BURGLARY
-73.89082318506931,40.8203071142787,2015.0,2.0,1014468.0,238156.0,1.0,GRAND LARCENY
-73.99074653347691,40.69503341382174,2015.0,2.0,986816.0,192496.0,1.0,GRAND LARCENY
-74.00405805807038,40.71313543861812,2015.0,2.0,983125.0,199091.0,1.0,GRAND LARCENY
-73.99075543906761,40.734837937612,2015.0,2.0,986812.0,206998.0,1.0,GRAND LARCENY
-73.9396897900883,40.69945627333245,2015.0,2.0,1000973.0,194113.0,1.0,GRAND LARCENY
-73.91375612954614,40.8387435853131,2015.0,2.0,1008114.0,244866.0,3.0,GRAND LARCENY
-73.90077783555245,40.85604676326622,2015.0,2.0,1011698.0,251174.0,1.0,GRAND LARCENY
-73.95680807706034,40.71275686468209,2015.0,2.0,996224.0,198956.0,3.0,GRAND LARCENY
-73.79202806696775,40.7110702299131,2015.0,2.0,1041907.0,198407.0,1.0,GRAND LARCENY
-73.78535109179003,40.71228488586148,2015.0,2.0,1043757.0,198854.0,1.0,GRAND LARCENY
-73.9255205360354,40.76044743985239,2015.0,3.0,1004883.0,216337.0,1.0,BURGLARY
-73.91474279614735,40.844343526095244,2015.0,2.0,1007839.0,246906.0,2.0,GRAND LARCENY
-73.96635880834104,40.76473193411851,2015.0,2.0,993569.0,217891.0,1.0,GRAND LARCENY
-73.95799559593313,40.6943646313516,2015.0,2.0,995898.0,192255.0,1.0,GRAND LARCENY
-73.91260166422845,40.66940558492832,2015.0,2.0,1008495.0,183171.0,1.0,GRAND LARCENY
-73.89935139431469,40.816867504726524,2015.0,2.0,1012109.0,236900.0,1.0,GRAND LARCENY
-73.90493263685109,40.86275007738922,2015.0,2.0,1010546.0,253615.0,1.0,GRAND LARCENY
-73.92747954357802,40.82111000583486,2015.0,2.0,1004322.0,238438.0,1.0,GRAND LARCENY
-73.99133198127466,40.685448723494396,2015.0,2.0,986654.0,189004.0,1.0,GRAND LARCENY
-73.86918217302073,40.82729735112241,2015.0,2.0,1020454.0,240711.0,1.0,GRAND LARCENY
-74.00517564298939,40.75140550555603,2015.0,2.0,982816.0,213034.0,1.0,GRAND LARCENY
-73.85073437929674,40.69271097931242,2015.0,3.0,1025643.0,191685.0,1.0,BURGLARY
-73.94092139440829,40.69740931554457,2015.0,1.0,1000632.0,193367.0,1.0,FELONY ASSAULT
-73.97742914302471,40.75822410392314,2015.0,1.0,990503.0,215519.0,1.0,FELONY ASSAULT
-73.93634880985029,40.84449470741641,2015.0,1.0,1001861.0,246956.0,1.0,FELONY ASSAULT
-73.94960694363246,40.76215674549153,2015.0,1.0,998210.0,216955.0,2.0,FELONY ASSAULT
-73.90800860603942,40.87366274058952,2015.0,1.0,1009691.0,257590.0,1.0,FELONY ASSAULT
-73.98661078772385,40.764140458687805,2015.0,1.0,987959.0,217674.0,1.0,FELONY ASSAULT
-73.9484886892001,40.826481737003235,2015.0,1.0,998506.0,240391.0,1.0,FELONY ASSAULT
-73.94415798623905,40.83742838198205,2015.0,1.0,999702.0,244380.0,1.0,FELONY ASSAULT
-73.93305060445851,40.84645805054651,2015.0,1.0,1002773.0,247672.0,1.0,FELONY ASSAULT
-73.95025497313824,40.803149640737615,2015.0,1.0,998022.0,231890.0,1.0,FELONY ASSAULT
-73.78727619168632,40.76575363826733,2015.0,3.0,1043176.0,218333.0,1.0,BURGLARY
-74.00231952120973,40.71645664761633,2015.0,1.0,983607.0,200301.0,1.0,FELONY ASSAULT
-73.98120679501481,40.76390914557531,2015.0,1.0,989456.0,217590.0,1.0,FELONY ASSAULT
-73.94919864994482,40.81472093424374,2015.0,1.0,998312.0,236106.0,1.0,FELONY ASSAULT
-73.96733513157282,40.79820151395646,2015.0,1.0,993294.0,230085.0,1.0,FELONY ASSAULT
-73.93485705019839,40.84722485791919,2015.0,1.0,1002273.0,247951.0,1.0,FELONY ASSAULT
-73.89429288415593,40.76038733683138,2015.0,1.0,1013534.0,216324.0,1.0,FELONY ASSAULT
-73.81585280975897,40.70058461266468,2015.0,1.0,1035310.0,194572.0,1.0,FELONY ASSAULT
-73.75529549198238,40.71550492351324,2015.0,1.0,1052086.0,200049.0,1.0,FELONY ASSAULT
-73.83889882697477,40.69289813313332,2015.0,2.0,1028925.0,191759.0,1.0,FELONY ASSAULT
-73.77246504238877,40.59645468882131,2015.0,1.0,1047439.0,156663.0,1.0,FELONY ASSAULT
-73.80189272947163,40.59599041921186,2015.0,3.0,1039267.0,156474.0,1.0,BURGLARY
-73.74211502453441,40.59600357001551,2015.0,1.0,1055868.0,156522.0,2.0,FELONY ASSAULT
-73.80367116330046,40.69164396103786,2015.0,2.0,1038695.0,191322.0,1.0,FELONY ASSAULT
-73.88397361707469,40.75570584673418,2015.0,1.0,1016395.0,214622.0,1.0,FELONY ASSAULT
-73.87651543949806,40.74456813058723,2015.0,1.0,1018467.0,210567.0,1.0,FELONY ASSAULT
-73.92912633477236,40.757353642197984,2015.0,1.0,1003885.0,215209.0,1.0,FELONY ASSAULT
-73.8444180239173,40.69517290910534,2015.0,2.0,1027393.0,192585.0,2.0,FELONY ASSAULT
-73.78795056132786,40.58909254047488,2015.0,1.0,1043145.0,153970.0,1.0,FELONY ASSAULT
-74.07529498944395,40.642056900057895,2015.0,2.0,963354.0,173204.0,1.0,FELONY ASSAULT
-74.08070358060206,40.621206554500965,2015.0,1.0,961846.0,165609.0,1.0,FELONY ASSAULT
-73.88617290799077,40.845875121257066,2015.0,2.0,1015743.0,247473.0,1.0,FELONY ASSAULT
-73.86104177968565,40.67998813282812,2015.0,3.0,1022792.0,187045.0,1.0,BURGLARY
-73.88662355323656,40.81686118130992,2015.0,2.0,1015632.0,236902.0,1.0,FELONY ASSAULT
-73.89958550066933,40.85805210921408,2015.0,2.0,1012027.0,251905.0,1.0,FELONY ASSAULT
-73.8411312961752,40.84562151751962,2015.0,2.0,1028205.0,247400.0,2.0,FELONY ASSAULT
-73.83527681921184,40.87887910656696,2015.0,2.0,1029802.0,259520.0,1.0,FELONY ASSAULT
-73.90058993332103,40.853579112988946,2015.0,2.0,1011751.0,250275.0,2.0,FELONY ASSAULT
-73.9144213518199,40.830120193315146,2015.0,2.0,1007933.0,241724.0,1.0,FELONY ASSAULT
-73.89198377471568,40.84873520472777,2015.0,2.0,1014134.0,248513.0,1.0,FELONY ASSAULT
