,long,lat,YR,MO,CR
880,-73.8663027278116,40.866661405706026,2014.0,3.0,M
1235,-73.84344156067652,40.88525541370967,2014.0,5.0,M
1288,-73.96188906731057,40.6837903862545,2014.0,3.0,M
1842,-73.98721031015025,40.574718080983885,2014.0,4.0,M
1970,-73.96454853053862,40.57800708730161,2014.0,4.0,M
2308,-73.89223473182315,40.850006238551565,2014.0,6.0,M
2366,-73.90635203957599,40.86117852510245,2014.0,6.0,M
2884,-73.75296434393861,40.67582416868292,2014.0,5.0,M
2903,-73.89237666320332,40.856113339075115,2014.0,5.0,M
3550,-74.1303879854783,40.62637879191772,2014.0,6.0,M
3625,-73.77003002089081,40.66151803600079,2014.0,6.0,M
3764,-73.86178180432917,40.820443387738685,2014.0,6.0,M
3825,-73.89587417895197,40.746382326503685,2014.0,6.0,M
3858,-73.87251645739758,40.739096224145435,2014.0,7.0,M
4436,-73.92368966590092,40.67287189333893,2014.0,7.0,M
5098,-73.93764381792946,40.69295282683874,2014.0,7.0,M
5190,-73.91547086377773,40.67242423932985,2014.0,1.0,M
5284,-73.88849722271469,40.865115019645984,2014.0,8.0,M
5505,-73.94334939442082,40.68780109831369,2014.0,8.0,M
6666,-77.51958437167269,40.11238529747836,2014.0,5.0,M
7696,-73.94368750846627,40.78698565151117,2014.0,1.0,M
7803,-73.85071929878175,40.817020651037886,2014.0,1.0,M
8064,-73.89872217284865,40.698560168489735,2014.0,3.0,M
8523,-73.91542971731981,40.832808012291714,2014.0,1.0,M
9447,-73.92808254561261,40.65763845509008,2014.0,4.0,M
9544,-73.99198428500918,40.7181197165696,2014.0,5.0,M
9607,-73.85095406530523,40.831567971186615,2014.0,5.0,M
9861,-73.84845133503708,40.90547945517017,2014.0,3.0,M
9880,-73.93057332207104,40.68851871920641,2014.0,3.0,M
9985,-73.95519902903264,40.809747241112426,2014.0,3.0,M
10473,-73.91884245074246,40.76052252645399,2014.0,4.0,M
10732,-73.7791927501071,40.70277907071922,2014.0,6.0,M
10943,-73.93190603373323,40.80292342900727,2014.0,6.0,M
10988,-73.9600506412536,40.68911187424279,2014.0,6.0,M
11831,-73.87760891913678,40.66206432857437,2014.0,5.0,M
12184,-73.93763359906055,40.68845688761756,2014.0,6.0,M
13133,-73.92776479297362,40.69146487431289,2014.0,7.0,M
13306,-73.90556686953519,40.749626741576186,2014.0,7.0,M
13384,-73.90951584364424,40.754518308202094,2014.0,7.0,M
13738,-73.95723091095894,40.644052587059626,2014.0,8.0,M
13791,-73.92460685601122,40.6651459483776,2014.0,1.0,M
14213,-74.2024135537349,40.5436173848782,2014.0,8.0,M
14423,-73.87925742058212,40.661352427466994,2014.0,1.0,M
14512,-74.1650888424781,40.63583667546465,2014.0,6.0,M
15079,-73.96069334787934,40.626478947367495,2014.0,1.0,M
15457,-73.80818379868695,40.70239736104283,2014.0,1.0,M
15966,-73.79346518693303,40.687300327736075,2014.0,1.0,M
16094,-73.98592565481616,40.76057770089569,2014.0,1.0,M
16122,-73.74609190935719,40.71585828175462,2014.0,1.0,M
16175,-73.94832012603888,40.652719700103454,2014.0,1.0,M
16558,-73.91322078986029,40.62576671817686,2014.0,3.0,M
16770,-73.90135108387064,40.85707377367047,2014.0,3.0,M
16771,-73.87947707547724,40.845000991604174,2014.0,3.0,M
17274,-73.93561524342756,40.59789158019682,2014.0,2.0,M
18132,-73.83947178291929,40.687077267217,2014.0,4.0,M
19008,-73.92311086676345,40.70275109143195,2014.0,4.0,M
19157,-73.94703341705369,40.811744681663775,2014.0,2.0,M
19455,-73.9033835513294,40.667358842083075,2014.0,6.0,M
19516,-74.12238217654816,40.57076695882692,2014.0,6.0,M
21040,-73.95423010008403,40.81617225378982,2014.0,8.0,M
21236,-73.86361058219974,40.73729369593315,2014.0,6.0,M
21493,-73.95708493444558,40.680527904744096,2014.0,7.0,M
22102,-73.92363963147719,40.66304555410953,2014.0,7.0,M
22532,-73.94105523068917,40.786690648823644,2014.0,8.0,M
23220,-73.75285101018355,40.604258841207425,2014.0,7.0,M
24598,-73.94487513209303,40.81369791190078,2014.0,1.0,M
24684,-73.88230803004673,40.764794756067054,2014.0,1.0,M
24815,-73.9388037203933,40.69431759976288,2014.0,1.0,M
25144,-73.80420215662744,40.688878130892746,2014.0,3.0,M
25338,-73.90332569656593,40.82665308376051,2014.0,1.0,M
25494,-73.92866598610786,40.836681513607715,2014.0,2.0,M
25587,-73.89920390208434,40.63754964736586,2014.0,2.0,M
25595,-73.89147556245034,40.67726510729636,2014.0,2.0,M
25924,-73.97512074077059,40.69556907123538,2014.0,4.0,M
26085,-73.78575197871007,40.597663240229814,2014.0,2.0,M
26641,-74.03619645204896,40.61751273483653,2014.0,5.0,M
26716,-73.90502339374726,40.83464161459556,2014.0,5.0,M
27139,-73.84796213601675,40.8836997275808,2014.0,4.0,M
27305,-73.94905684127829,40.64600903299027,2014.0,4.0,M
27474,-74.1651432840436,40.634541055333685,2014.0,4.0,M
27927,-73.89949417457521,40.87064196396436,2014.0,6.0,M
27995,-73.88259995894383,40.86951166605829,2014.0,6.0,M
28370,-73.93921761127763,40.67147856405232,2014.0,5.0,M
28567,-74.00863393639463,40.645001677085844,2014.0,5.0,M
28752,-73.97754937906682,40.72277566272272,2014.0,5.0,M
29024,-73.9226059168259,40.81771710923774,2014.0,3.0,M
29520,-73.7970816302856,40.6778702090617,2014.0,8.0,M
30070,-73.89020870309594,40.6759409231279,2014.0,7.0,M
30311,-73.92657676903805,40.83377355247124,2014.0,7.0,M
30557,-73.94109650493142,40.69105526514858,2014.0,3.0,M
31177,-73.87886904913408,40.740253133069594,2014.0,8.0,M
31207,-73.90381905717156,40.65781834976103,2014.0,8.0,M
31274,-77.51958437167269,40.11238529747836,2014.0,1.0,M
31420,-73.96327821450936,40.577213440093296,2014.0,6.0,M
31530,-77.51958437167269,40.11238529747836,2014.0,6.0,M
31862,-73.78349209223975,40.70269940536282,2014.0,3.0,M
31886,-77.51958437167269,40.11238529747836,2014.0,3.0,M
32007,-73.834265811065,40.68532695439769,2014.0,4.0,M
32187,-73.7684629620074,40.68619599749668,2014.0,5.0,M
32750,-73.99113380923099,40.57592616444959,2014.0,8.0,M
32843,-73.90750303333782,40.683443872153006,2014.0,1.0,M
33051,-73.87047378029469,40.8672919545386,2014.0,1.0,M
